Title,Artist,Nationality,Gender,Year,Medium,Classification
"Orpheus before Pluto and Proserpina (Orpheus vor Pluto und Proserpina) from the illustrated book Eurydikes Wiederkehr, Drei Ges_nge (The Return of Eurydice, Three Cantos)",Max Beckmann,(German),(Male),1930,Lithograph,Print
"The Departure of Orpheus from his Mother (Abschied Orpheus' von der Mutter) from the illustrated book Eurydikes Wiederkehr, Drei Ges_nge (The Return of Eurydice, Three Cantos)",Max Beckmann,(German),(Male),1930,Lithograph,Print
"Orpheus at the Shore II (Orpheus am Meer II) from the illustrated book Eurydikes Wiederkehr, Drei Ges_nge (The Return of Eurydice, Three Cantos)",Max Beckmann,(German),(Male),1930,Lithograph,Print
Pavlova's Foot,Savely Sorine,(Russian),(Male),1930,Pencil and chalk on paper,Drawing
Railroad Gantry,Charles Burchfield,(American),(Male),1930,Gouache on paper,Drawing
Pavlova's Foot,Savely Sorine,(Russian),(Male),1930,Pencil and chalk on paper,Drawing
Head of a Woman,Pablo Picasso,(Spanish),(Male),1930,Gouache on paper,Drawing
Seated Nude,Amedeo Modigliani,(Italian),(Male),1930,Pencil and watercolor on paper,Drawing
Seated Nude,Charles Despiau,(French),(Male),1930,Crayon on paper,Drawing
"New York City, Old and New",Clara E. Sipprell,(American),(Female),1930,Gelatin silver print,Photograph
CIRCUS ARENA WITH HORSES,Kristians Tonny,(Dutch),(Male),1930,"Etching and drypoint, printed in dark brown",Print
Portrait of Mr. Loeb (Bildnis Herr Loeb),Max Beckmann,(German),(Male),1930,Drypoint,Print
"Naila in Profile (Portrait of ""Frau H.M."") (Naila im Profil [Bildnis Frau H.M.])",Max Beckmann,(German),(Male),1930,Drypoint,Print
Sarika,Max Beckmann,(German),(Male),1930,Drypoint,Print
Behind the Scenes (Hinter den Kulissen) for the portfolio Annual Fair (Jahrmarkt),Max Beckmann,(German),(Male),1930,Drypoint,Print
The Fur Cap (Die Pelzm_tze),Max Beckmann,(German),(Male),1930,Drypoint,Print
Shooting Gallery (Schiessbude) for the portfolio Annual Fair (Jahrmarkt),Max Beckmann,(German),(Male),1930,Drypoint,Print
Still Life,Vaclav Vytlacil,(American),(Male),1930,Monotype,Print
Death of an Indian Chief (Muerte de Willka),Alejandro Mario Yllanes,(Bolivian),(Male),1930,Wood engraving,Print
Daylight Savings Time,Pierre Roy,(French),(Male),1930,Oil on canvas,Painting
Plums on a Plate,Preston Dickinson,(American),(Male),1930,Oil on canvas,Painting
House by the Railroad,Edward Hopper,(American),(Male),1930,Oil on canvas,Painting
Dr. Mayer-Hermann,Otto Dix,(German),(Male),1930,Oil and tempera on wood,Painting
Desire,Aristide Maillol,(French),(Male),1930,Tinted plaster,Sculpture
Summer,Aristide Maillol,(French),(Male),1930,Tinted plaster,Sculpture
Standing Girl,Hermann Haller,(Swiss),(Male),1930,Bronze,Sculpture
"Villa Savoye, Poissy-sur-Seine, France","Le Corbusier (Charles-_douard Jeanneret), Pierre Jeanneret",(French) (Swiss),(Male) (Male),1930,"Wood, aluminum, and plastic",Architecture
"Tugendhat House, Brno, Czechoslovakia (Model of final version)",Ludwig Mies van der Rohe,(American),(Male),1930,"Painted wood, metal, wooden tiles, plastic fence steps and windows",Architecture
Orange Juice Extractor,"Lorraine Metal Mfg. Co., NY",(American),(Gender unknow),1940,"Enameled steel, plated steel, and wood",Design
Have You Answered the Red Cross Christmas Roll Call?,Harrison Fisher,(American),(Male),1940,Lithograph,Design
We Need You,Albert Sterner,(American),(Male),1940,Lithograph,Design
"The Hun - His Mark, Blot It Out With Liberty Bonds",J. Allen St. John,(American),(Male),1940,Lithograph,Design
Invest In the Victory Liberty Loan,L. A. Shafer,(American),(Male),1940,Lithograph,Design
"Provide the Sinews of War, Buy Liberty Bonds",Joseph Pennell,(American),(Male),1940,Lithograph,Design
They Fight For You - Protect Them,W. G. Sesser,(American),(Gender unknow),1940,Lithograph,Design
See Him Through,Burton Rice,(American),(Male),1940,Lithograph,Design
Help (Poster for the American Red Cross),John Mills,(American),(Male),1940,Lithograph,Design
I Am The Red Cross of Peace,Chambers,(American),(Gender unknow),1940,Lithograph,Design
His Home Over There,Albert Herter,(American),(Male),1940,Lithograph,Design
For Home and Country: Victory Liberty Loan,Alfred Everitt Orr,(American),(Male),1940,Lithograph,Design
Don't Talk,Unknown Artist,(Nationality Unknown),(Gender unknow),1940,Poster,Design
Must Children Die and Mothers Plead in Vain? Buy More Liberty Bonds,Henry Patrick Raleigh,(American),(Male),1940,Lithograph,Design
Keep 'Em Smiling!,M. Leone Bracker,(American),(Male),1940,Lithograph,Design
And They Thought We Couldn't Fight,Clyde Forsythe,(American),(Male),1940,Lithograph,Design
Lend the Way They Fight,E. M. Ashe,(American),(Male),1940,Lithograph,Design
Stand Behind the Country's Girlhood,W. T. Benda,(American),(Male),1940,"Poster, gouache-lithograph",Design
"Sure We'll Finish the Job, Victory Liberty Loan",G. A. Beneker,(American),(Male),1940,Gouache-lithograph,Design
Carry On! Buy Liberty Bonds to Your Utmost,Edwin Howland Blashfield,(American),(Male),1940,Lithograph,Design
Food--Don't Waste It,Frederick George Cooper,(American),(Male),1940,Lithograph,Design
Save a Loaf a Week - Help Win the War,Frederick George Cooper,(American),(Male),1940,Gouache-lithograph,Design
He Is Keeping the World Safe for Democracy,C. Carleton,(American),(Gender unknow),1940,Lithograph,Design
Americans All!,Howard Chandler Christy,(American),(Male),1940,Gouache-lithograph,Design
Clear the Way!!,Howard Chandler Christy,(American),(Male),1940,Lithograph,Design
Fight or Buy Bonds. Third Liberty Loan,Howard Chandler Christy,(American),(Male),1940,Gouache-lithograph,Design
"Joan of Arc Saved France--Women of America, Save Your Country",Haskell Coffin,(American),(Male),1940,Lithograph,Design
l'Emprunt de la Dí_ense Nationale,Jules-Abel Faivre,(French),(Male),1940,"Poster, gouache-litho",Design
"You, Wireless Fans, Help the Navy Get The Hun Submarine",C. B. Falls,(American),(Gender unknow),1940,Lithograph,Design
Be a U.S. Marine!,James Montgomery Flagg,(American),(Male),1940,Lithograph,Design
"Wake up America! Civilization Calls Every Man, Woman and Child!",James Montgomery Flagg,(American),(Male),1940,Lithograph,Design
First in the Fight,James Montgomery Flagg,(American),(Male),1940,Gouache-lithograph,Design
"I am Telling You On June 28th I Expect You to Enlist in the Army of War Savers to Back Up My Army of Fighters, W.S.S. Enlistment",James Montgomery Flagg,(American),(Male),1940,Gouache-lithograph,Design
The Navy Needs You! Don't Read American History - Make It! U.S. Navy Recruiting Station,James Montgomery Flagg,(American),(Male),1940,Gouache-lithograph,Design
Women Bring All the Voters into the World,James Montgomery Flagg,(American),(Male),1940,"Poster, gouache-litho",Design
Strike Now! He's Fighting For You,Robert Gair Company,(American),(Gender unknow),1940,Lithograph,Design
"U.S. Navy, ""Here he is, Sir."" We Need Him and You Too!, Navy Recruiting Station",Charles Dana Gibson,(American),(Male),1940,Lithograph,Design
Help Crush the Menace of the Seas,J. L. Grosse,(American),(Gender unknow),1940,Lithograph,Design
Enlist Today,Guenther,(Nationality Unknown),(Gender unknow),1940,Lithograph,Design
Are You Working With Schwab?,C. Haimovitz,(American),(Gender unknow),1940,"Poster, gouache-litho",Design
"Good Bye, Dad, I'm Off to Fight for Old Glory, You Buy U.S. Gov't Bonds",L. Harris,(Nationality Unknown),(Gender unknow),1940,Lithograph,Design
"In The Name of Mercy, Give!",Albert Herter,(American),(Male),1940,Gouache-lithograph,Design
One of the Thousand Y.M.C.A. Girls in France,Kein,(American),(Gender unknow),1940,Lithograph,Design
Hold Up Your End!,W. B. King,(American),(Gender unknow),1940,Lithograph,Design
Blood or Bread?,Henry Patrick Raleigh,(American),(Male),1940,Lithograph,Design
"Halt the Hun! Buy U.S. Government Bonds, Third Liberty Loan",Henry Patrick Raleigh,(American),(Male),1940,Gouache-lithograph,Design
Hun or Home? Buy More Liberty Bonds,Henry Patrick Raleigh,(American),(Male),1940,Gouache and lithograph,Design
On The Job For Victory,Jonas Lie,(American),(Male),1940,Gouache-lithograph,Design
Fate Tutti il Vostro Dovere!,Achille Mauzan,(Italian),(Gender unknow),1940,Lithograph,Design
June 28th is National War Saving Day,A.A.P.,(American),(Gender unknow),1940,Lithograph,Design
"Save Your Child from Autocracy and Poverty, Buy War Savings Stamps",Herbert Paus,(American),(Male),1940,Gouache-lithograph,Design
Help Deliver The Goods,Herbert Paus,(American),(Male),1940,Lithograph,Design
That Liberty Shall Not Perish From the Earth - Buy Liberty Bonds,Joseph Pennell,(American),(Male),1940,Lithograph,Design
After a Zeppelin Raid in London,Louis Raemaekers,(Dutch),(Male),1940,Lithograph,Design
Civilians - The Jewish Welfare Board,S. H. Riesenberg,(American),(Gender unknow),1940,Lithograph,Design
U.S. Marines,S. H. Riesenberg,(American),(Gender unknow),1940,"Poster, gouache-litho",Design
Help the Red Cross,Herman Roeg,(American),(Male),1940,Lithograph,Design
Sous le drapeau pour le victoire,S. Scott,(French),(Gender unknow),1940,"Poster, gouache-litho",Design
"It's Up to You--Protect the Nation's Honor, Enlist Now",Schneck,(American),(Gender unknow),1940,Lithograph,Design
"""Hey Fellows!"" Your Money Brings the Book We Need When We Want It, American Library Association",John E. Sheridan,(American),(Male),1940,Gouache-lithograph,Design
"Be Patriotic, Sign Your Country's Pledge to Save The Flood, U.S. Food Administration",Paul Stahr,(American),(Male),1940,Gouache-lithograph,Design
Nous Voulons Vivre Aidez-Nous!,Stephany,(French),(Gender unknow),1940,Lithograph,Design
For Every Fighter a Woman Worker. Care For Her Through the YWCA,Adolph Treidler,(American),(Male),1940,Lithograph,Design
Back Our Girls Over There - United War Work Campaign,G. F. Underwood,(American),(Gender unknow),1940,Lithograph,Design
"The Harriman National Bank Urges Faith, Courage, and Patience",M. Waddell,(American),(Gender unknow),1940,Lithograph,Design
